breed,url_ficha,temperament,size,activity_level,grooming,coat_length,url_imagen,descripcion
Scottish Straight Longhair,https://tica.org/breed/scottish-straight-longhair/,playful,medium,moderate,moderate,short,https://tica.org/wp-content/uploads/2018/08/Scottish-Straight-Longhair-Full-Body.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Selkirk Rex,https://tica.org/breed/selkirk-rex/,gentle,medium-to-large,moderate,low,long,https://tica.org/wp-content/uploads/2023/07/Selkirk-Rex-Head-shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Selkirk Rex Longhair,https://tica.org/breed/selkirk-rex-longhair/,gentle,medium-to-large,moderate,moderate,long,https://tica.org/wp-content/uploads/2018/08/householdpet-scaled-e1733245192878-282x300.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Siamese,https://tica.org/breed/siamese/,playful,medium,high,low,short,https://tica.org/wp-content/uploads/2018/08/Siamese-laying-down.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Siberian,https://tica.org/breed/siberian/,playful,medium-to-large,moderate,high,short,https://tica.org/wp-content/uploads/2023/07/Siberian-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Singapura,https://tica.org/breed/singapura/,playful,small-to-medium,high,low,long,https://tica.org/wp-content/uploads/2023/07/Singapura-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Snowshoe,https://tica.org/breed/snowshoe/,playful,small-to-medium,moderate,low,long,https://tica.org/wp-content/uploads/2023/07/Snowshoe-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Somali,https://tica.org/breed/somali/,playful,medium,moderate,moderate,medium,https://tica.org/wp-content/uploads/2023/07/Somali-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Sphynx,https://tica.org/breed/sphynx/,affectionate,medium,high,low,short,https://tica.org/wp-content/uploads/2018/08/Sphynx3.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Tennessee Rex,https://tica.org/breed/tennessee-rex/,,,,,,https://tica.org/wp-content/uploads/2018/08/householdpet-scaled-e1733245192878-282x300.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Thai,https://tica.org/breed/thai/,playful,medium-to-large,moderate,low,short,https://tica.org/wp-content/uploads/2023/07/Thai-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Tonkinese,https://tica.org/breed/tonkinese/,playful,medium,moderate,low,short,https://tica.org/wp-content/uploads/2023/07/Tonkinese-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Toyger,https://tica.org/breed/toyger/,affectionate,medium,high,low,short,https://tica.org/wp-content/uploads/2023/07/Toyger-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Turkish Angora,https://tica.org/breed/turkish-angora/,playful,medium-to-large,high,moderate,long,https://tica.org/wp-content/uploads/2023/07/Turkish-Angora-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Turkish Van,https://tica.org/breed/turkish-van/,playful,large,moderate,moderate,long,https://tica.org/wp-content/uploads/2023/07/Turkish-Van-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
